diacritic_pos	diacritic_freq	no_diacritic_pos	no_diacritic_freq	total_freq	cnt	detected
2	0	2	0	0	859	2
2	0	2	0	0	860	2
2	0	2	0	0	861	2
2	0	2	0	0	862	2
2	0	2	0	0	863	2
2	0	2	0	0	864	2
2	0	2	0	0	865	2
2	8	2	0	8	866	0
2	7	2	97	104	867	1
2	0	2	1	1	868	2
2	0	2	0	0	869	2
2	0	2	0	0	870	2
2	0	2	0	0	871	2
2	0	2	0	0	872	2
2	0	2	0	0	873	2
2	0	2	0	0	874	2
2	0	2	0	0	875	2
2	0	2	0	0	876	2
2	0	2	0	0	877	2
2	0	2	0	0	878	2
2	0	2	0	0	879	2
2	0	2	0	0	880	2
2	0	2	0	0	881	2
2	0	2	0	0	882	2
2	0	2	0	0	883	2
2	0	2	0	0	884	2
2	0	2	0	0	885	2
2	0	2	0	0	886	2
2	11	2	1	12	887	0
2	0	2	0	0	888	2
2	0	2	0	0	889	2
2	0	2	0	0	890	2
2	0	2	3	3	891	2
2	0	2	0	0	892	2
2	0	2	0	0	893	2
2	0	2	0	0	894	2
2	0	2	0	0	895	2
2	0	2	0	0	896	2
2	0	2	0	0	897	2
2	0	2	0	0	898	2
2	0	2	0	0	899	2
2	0	2	0	0	900	2
2	0	2	0	0	901	2
2	15	2	0	15	902	0
4	0	2	0	0	903	2
2	0	2	0	0	904	2
2	0	2	0	0	905	2
2	0	2	0	0	906	2
2	0	2	0	0	907	2
2	0	2	2	2	908	2
2	0	2	0	0	909	2
2	0	2	0	0	910	2
2	0	2	32	32	911	2
2	0	2	2	2	912	2
2	0	2	0	0	913	2
2	3	2	0	3	914	0
2	0	2	18	18	915	2
2	0	2	0	0	916	2
2	0	2	0	0	917	2
2	0	2	0	0	918	2
2	1	2	1	2	919	1
2	0	2	9	9	920	2
2	280	2	0	280	921	0
2	5	2	1620	1625	922	1
2	0	2	141	141	923	2
2	0	2	0	0	924	2
2	85	2	1	86	925	0
2	0	2	637	637	926	2
2	0	2	0	0	927	2
2	0	2	0	0	928	2
2	0	2	0	0	929	2
2	0	2	0	0	930	2
2	0	2	0	0	931	2
2	0	2	0	0	932	2
2	0	2	0	0	933	2
